run_id,method,regime,seed,node_id,device_type,model_rate,client_model_rate,eval_r2,num_examples
5trnnxj2,HeteroFL,noniid,1337,14370957792961411330,rpi5,0.5,1.0,0.7242923433874711,206
5trnnxj2,HeteroFL,noniid,1337,14704141079856545765,rpi5,0.5,1.0,0.4953035675966688,206
5trnnxj2,HeteroFL,noniid,1337,12197579866802945641,rpi4,0.5,0.125,0.5051218551499078,206
5trnnxj2,HeteroFL,noniid,1337,16820684858231358420,rpi4,0.5,0.25,0.6714905808751974,207
5trnnxj2,HeteroFL,noniid,1337,13032440740833156919,rpi4,0.5,0.25,0.7104985453409706,207
5trnnxj2,HeteroFL,noniid,1337,14384760556187141351,rpi4,0.5,0.25,0.47874616624815625,207
5trnnxj2,HeteroFL,noniid,1337,11168521321696690421,rpi4,0.5,0.125,0.615586427784772,207
5trnnxj2,HeteroFL,noniid,1337,3171966289524282994,rpi4,0.5,0.125,0.1859735714956302,207
5trnnxj2,HeteroFL,noniid,1337,15810936374095382975,rpi4,0.5,0.25,0.617198557285026,207
5trnnxj2,HeteroFL,noniid,1337,17006657909883021964,rpi4,0.5,0.25,0.6279544286723202,207
5trnnxj2,HeteroFL,noniid,1337,9522003551193989035,rpi4,0.5,0.125,0.7288834208332667,206
5trnnxj2,HeteroFL,noniid,1337,3674946044811872693,rpi4,0.5,0.125,0.7558677213340443,207
5trnnxj2,HeteroFL,noniid,1337,13019191365087461323,rpi5,1.0,1.0,0.6338321854599034,206
5trnnxj2,HeteroFL,noniid,1337,7179231671872035042,rpi5,1.0,0.5,0.6182915558564595,206
